Prices for Securities Traded as of 04/05/2026
Printed 04/05/2026 16:31:08.008




    PRICES FOR EQUITY SECURITIES TRADED ON 04/05/2026
     S/N COMPANY         PCLOSE OOPEN        OPEN      HIGH     LOW %SPREAD OCLOSE      CLOSE CHANGE      %CHANGE    TRADES      VOLUME              VALUE
      99   SCOA             22.65       -    22.65         -        -      -       -    22.65        -          -      140      139,535       2,921,829.45
     100 SEPLAT          11,495.00      - 11,495.00        -        -      -       - 11,495.00       -          -     1,776     132,163 1,622,101,399.80




Copyright © 2021 Nigerian Exchange Limited. All Rights Reserved.                                                                       Page        4         of   8
Prices for Securities Traded as of 04/05/2026
Printed 04/05/2026 16:31:08.008




     S/N COMPANY         PCLOSE OOPEN       OPEN      HIGH     LOW %SPREAD OCLOSE     CLOSE CHANGE     %CHANGE    TRADES     VOLUME              VALUE
     101 SFSREIT           418.75       -   418.75        -        -       -      -   418.75       -          -      114       35,405     16,006,770.90
     102 SKYAVN            143.10       -   143.10        -        -       -      -   143.10       -          -       87      481,746     62,167,197.10
     103 SOVRENINS           2.08       -     2.08     2.28     2.04   10.53      -     2.28    0.20      9.62       161    14,049,620    30,450,894.06
     104 STANBIC           165.00       -   165.00   181.00   181.00       -      -   181.00   16.00      9.70      1,211    2,340,427   403,800,826.20
     105 STERLINGNG          7.65       -     7.65     8.00     7.60    5.00   8.00     8.00    0.35      4.58       886    37,406,500   292,993,179.30
     106 SUNUASSUR           4.00       -     4.00     4.35     3.80   12.64      -     4.35    0.35      8.75       148     4,595,022    18,195,600.48
     107 TANTALIZER          3.62       -     3.62     3.88     3.50    9.79      -     3.88    0.26      7.18       574    13,584,577    49,264,047.38
     108 TIP                30.60   33.60    33.60    33.65    27.55   18.13      -    29.50   -1.10      -3.59     3,859   28,768,042   915,598,282.10
     109 TOTAL             640.00       -   640.00        -        -       -      -   640.00       -          -      217       22,088     12,722,688.00
     110 TRANSCOHOT        223.30       -   223.30        -        -       -      -   223.30       -          -      270       48,583     11,314,907.20
     111 TRANSCORP          44.50       -    44.50    43.00    40.05    6.86      -    43.00   -1.50      -3.37      775     5,599,304   235,808,322.00
     112 TRANSEXPR           6.40       -     6.40        -        -       -      -     6.40       -          -       82      300,989       1,781,632.73
     113 TRANSPOWER        272.70       -   272.70        -        -       -      -   272.70       -          -      148       47,264     11,603,312.00
     114 TRIPPLEG            4.26       -     4.26        -        -       -      -     4.26       -          -       51      421,701       1,750,978.39
     115 UACN              181.50       -   181.50   196.00   189.00    3.57      -   190.00    8.50      4.68      1,417    4,511,678   858,105,716.15
     116 UBA                42.75       -    42.75    44.00    42.50    3.41      -    42.80    0.05      0.12      5,599   32,114,923 1,380,046,948.95
     117 UCAP               18.40       -    18.40    18.50    17.80    3.78      -    18.50    0.10      0.54       808    11,088,181   200,476,980.25
     118 UHOMREIT           72.50       -    72.50        -        -       -      -    72.50       -          -      103      244,634     16,812,138.05
     119 UNILEVER          137.50       -   137.50        -        -       -      -   137.50       -          -      704      986,542    147,454,624.40
     120 UNIONDICON         21.90       -    21.90        -        -       -      -    21.90       -          -       57       69,661       1,375,804.75
     121 UNIVINSURE          1.19       -     1.19     1.18     1.08    8.47      -     1.12   -0.07      -5.88      195    14,066,995    15,513,615.49
     122 UPDC                4.90       -     4.90     4.45     4.45       -      -     4.45   -0.45      -9.18      174     2,372,732    10,606,322.75
     123 UPDCREIT            7.50       -     7.50     7.75     7.50    3.23      -     7.50       -          -      312     2,432,575    18,456,120.95
     124 UPL                 5.00       -     5.00        -        -       -      -     5.00       -          -       40      432,356       2,137,797.30
     125 VERITASKAP          1.75       -     1.75     1.89     1.65   12.70      -     1.65   -0.10      -5.71      423    43,927,968    76,263,185.67




Copyright © 2021 Nigerian Exchange Limited. All Rights Reserved.                                                                     Page        5         of   8
Prices for Securities Traded as of 04/05/2026
Printed 04/05/2026 16:31:08.008




     S/N COMPANY         PCLOSE OOPEN       OPEN      HIGH     LOW %SPREAD OCLOSE      CLOSE CHANGE     %CHANGE    TRADES      VOLUME              VALUE
     126 VFDGROUP           11.30       -    11.30    11.30    10.20   9.73        -    10.65   -0.65      -5.75      754    255,347,643 2,722,381,089.10
     127 VITAFOAM          154.90       -   154.90   155.00   155.00      -        -   155.00   0.10       0.06       898      2,341,349   362,362,983.00
     128 WAPCO             350.00       -   350.00   349.90   340.00   2.83        -   349.00   -1.00      -0.29     4,293     8,188,763 2,834,649,781.30
     129 WAPIC               2.50       -     2.50     2.50     2.35   6.00        -     2.40   -0.10      -4.00      208      3,328,777      8,127,133.01
     130 WEMABANK           34.10       -    34.10    34.10    33.25   2.49        -    33.25   -0.85      -2.49     1,605     4,392,442   146,633,724.10
     131 ZENITHBANK        130.50       -   130.50   131.25   129.00   1.71   129.40   129.40   -1.10      -0.84     8,328    64,621,901 8,419,102,972.65
     132 ZICHIS             21.78   23.95    23.95    23.95    22.80   4.80        -    22.80   1.02       4.68      1,082    16,006,029   379,997,318.69
          Total                                                                                                    132,636 1,406,837,210 57,880,383,130.81




Copyright © 2021 Nigerian Exchange Limited. All Rights Reserved.                                                                       Page        6         of   8
Prices for Securities Traded as of 04/05/2026
Printed 04/05/2026 16:31:08.008




    PRICES FOR ETF SECURITIES TRADED ON 04/05/2026
      S/N COMPANY          PCLOSE OPEN            HIGH      LOW           %SPREAD    CLOSE       CHANGE       %CHANGE   TRADES    VOLUME                  VALUE
       1   GREENWETF         1,040.00   1,040.00 1,129.99     973.01          13.89 1,019.75         -20.25     -1.95      142       4,680           4,789,831.06
       2   LOTUSHAL15         120.10     120.10    132.10     110.11          16.65 127.99             7.89      6.57      426     679,883       80,408,727.48
       3   MERGROWTH          136.40     136.40    150.04     136.42           9.08 150.04           13.64      10.00       34      11,209           1,680,698.76
       4   MERVALUE           139.76     139.76    153.72     140.00           8.93 142.10             2.34      1.67       46      10,075           1,518,362.71
       5   NEWGOLD         149,000.00149,000.00163,900.00
                                                        148,100.00             9.64 157,999.99     8,999.99      6.04       72         207       31,770,745.85
       6   SIAMLETF40        5,888.48   5,888.48 6,477.32    6,477.32               - 6,477.32      588.84      10.00       24         190           1,230,690.80
       7   STANBICETF30      3,950.00   3,950.00 4,340.50    3,850.00         11.30 4,240.00        290.00       7.34      458      16,048       65,029,262.22
       8   VETBANK              24.00     24.00     26.30         23.90        9.13 26.10              2.10      8.75      295     529,568       13,620,808.79
